Days                ,Latitudes           ,Payloads            
266.0169491525424   ,-80.0               ,nan                 
259.8305084745763   ,-80.0               ,nan                 
92.79661016949153   ,-75.8974358974359   ,nan                 
86.61016949152543   ,-80.0               ,nan                 
80.42372881355932   ,-80.0               ,nan                 
86.61016949152543   ,-75.8974358974359   ,nan                 
278.3898305084746   ,-80.0               ,85.72615660377778   
55.67796610169492   ,-80.0               ,nan                 
68.05084745762713   ,-80.0               ,88.33677131911296   
68.05084745762713   ,-75.8974358974359   ,116.63832465734411  
290.7627118644068   ,-80.0               ,213.95230609247923  
296.9491525423729   ,-80.0               ,nan                 
259.8305084745763   ,-75.8974358974359   ,nan                 
253.6440677966102   ,-75.8974358974359   ,nan                 
272.2033898305085   ,-80.0               ,34.55263505816205   
74.23728813559322   ,-80.0               ,34.85333276993292   
61.864406779661024  ,-75.8974358974359   ,166.9713333575812   
61.864406779661024  ,-80.0               ,147.96205777197724  
49.49152542372882   ,-75.8974358974359   ,nan                 
284.5762711864407   ,-80.0               ,143.42360754248966  
55.67796610169492   ,-75.8974358974359   ,219.79567247624703  
80.42372881355932   ,-75.8974358974359   ,26.747057149278607  
74.23728813559322   ,-75.8974358974359   ,68.96639546757049   
49.49152542372882   ,-80.0               ,nan                 
43.30508474576271   ,-75.8974358974359   ,nan                 
315.5084745762712   ,-80.0               ,428.3938037531947   
247.4576271186441   ,-75.8974358974359   ,nan                 
303.135593220339    ,-80.0               ,nan                 
278.3898305084746   ,-75.8974358974359   ,96.37762378744816   
266.0169491525424   ,-75.8974358974359   ,14.632331800131295  
30.932203389830512  ,-80.0               ,nan                 
43.30508474576271   ,-80.0               ,372.150214015328    
309.3220338983051   ,-80.0               ,nan                 
37.11864406779661   ,-75.8974358974359   ,nan                 
290.7627118644068   ,-75.8974358974359   ,191.53013542369172  
272.2033898305085   ,-75.8974358974359   ,52.98243376553211   
98.98305084745763   ,-75.8974358974359   ,nan                 
284.5762711864407   ,-75.8974358974359   ,142.42001350736334  
167.03389830508476  ,-75.8974358974359   ,nan                 
352.6271186440678   ,-80.0               ,nan                 
24.74576271186441   ,-75.8974358974359   ,nan                 
37.11864406779661   ,-80.0               ,nan                 
340.25423728813564  ,-80.0               ,nan                 
12.372881355932204  ,-80.0               ,nan                 
18.559322033898304  ,-80.0               ,nan                 
24.74576271186441   ,-80.0               ,nan                 
0.0                 ,-75.8974358974359   ,nan                 
321.6949152542373   ,-80.0               ,nan                 
6.186440677966102   ,-75.8974358974359   ,nan                 
18.559322033898304  ,-75.8974358974359   ,nan                 
12.372881355932204  ,-75.8974358974359   ,nan                 
365.0               ,-80.0               ,nan                 
0.0                 ,-80.0               ,nan                 
30.932203389830512  ,-75.8974358974359   ,nan                 
