Days                ,Latitudes           ,Spans               
18.559322033898304  ,-80.0               ,11.999999821516166  
12.372881355932204  ,-80.0               ,11.999999821514212  
6.186440677966102   ,-80.0               ,11.999999821513084  
30.932203389830512  ,-80.0               ,12.022908350026949  
24.74576271186441   ,-80.0               ,11.999999821519495  
0.0                 ,-80.0               ,nan                 
49.49152542372882   ,-80.0               ,17.7402811561247    
37.11864406779661   ,-80.0               ,13.192333787355997  
43.30508474576271   ,-80.0               ,14.872142831871125  
55.67796610169492   ,-80.0               ,22.365096870820334  
61.864406779661024  ,-80.0               ,27.863472790422822  
68.05084745762713   ,-80.0               ,37.04077780318941   
74.23728813559322   ,-80.0               ,58.11894065047715   
80.42372881355932   ,-80.0               ,nan                 
92.79661016949153   ,-80.0               ,nan                 
86.61016949152543   ,-80.0               ,nan                 
98.98305084745763   ,-80.0               ,nan                 
105.16949152542374  ,-80.0               ,nan                 
111.35593220338984  ,-80.0               ,nan                 
129.91525423728814  ,-80.0               ,nan                 
136.10169491525426  ,-80.0               ,nan                 
148.47457627118644  ,-80.0               ,nan                 
142.28813559322035  ,-80.0               ,nan                 
167.03389830508476  ,-80.0               ,nan                 
173.22033898305085  ,-80.0               ,nan                 
179.40677966101697  ,-80.0               ,nan                 
185.59322033898306  ,-80.0               ,nan                 
197.96610169491527  ,-80.0               ,nan                 
210.33898305084747  ,-80.0               ,nan                 
222.71186440677968  ,-80.0               ,nan                 
216.52542372881356  ,-80.0               ,nan                 
228.89830508474577  ,-80.0               ,nan                 
235.0847457627119   ,-80.0               ,nan                 
247.4576271186441   ,-80.0               ,nan                 
259.8305084745763   ,-80.0               ,nan                 
266.0169491525424   ,-80.0               ,nan                 
253.6440677966102   ,-80.0               ,nan                 
290.7627118644068   ,-80.0               ,85.6617436040615    
296.9491525423729   ,-80.0               ,34.7896346255017    
303.135593220339    ,-80.0               ,22.341094535354497  
272.2033898305085   ,-80.0               ,nan                 
309.3220338983051   ,-80.0               ,17.101547355388405  
315.5084745762712   ,-80.0               ,14.05870906450535   
321.6949152542373   ,-80.0               ,12.061791960031151  
284.5762711864407   ,-80.0               ,nan                 
327.8813559322034   ,-80.0               ,11.999999821512876  
334.0677966101695   ,-80.0               ,11.999999821513818  
340.25423728813564  ,-80.0               ,11.999999821513839  
346.4406779661017   ,-80.0               ,11.999999821512935  
352.6271186440678   ,-80.0               ,nan                 
0.0                 ,-75.8974358974359   ,11.99999982151705   
365.0               ,-80.0               ,nan                 
358.81355932203394  ,-80.0               ,nan                 
12.372881355932204  ,-75.8974358974359   ,11.99999982151965   
18.559322033898304  ,-75.8974358974359   ,11.999999821523192  
24.74576271186441   ,-75.8974358974359   ,12.145067349309782  
6.186440677966102   ,-75.8974358974359   ,nan                 
37.11864406779661   ,-75.8974358974359   ,14.422074017346285  
30.932203389830512  ,-75.8974358974359   ,13.10295779098802   
43.30508474576271   ,-75.8974358974359   ,16.5963551449693    
61.864406779661024  ,-75.8974358974359   ,27.0210535420117    
55.67796610169492   ,-75.8974358974359   ,22.467477962229125  
49.49152542372882   ,-75.8974358974359   ,nan                 
68.05084745762713   ,-75.8974358974359   ,34.17026757001262   
74.23728813559322   ,-75.8974358974359   ,48.56305125423925   
86.61016949152543   ,-75.8974358974359   ,nan                 
80.42372881355932   ,-75.8974358974359   ,nan                 
92.79661016949153   ,-75.8974358974359   ,nan                 
98.98305084745763   ,-75.8974358974359   ,nan                 
111.35593220338984  ,-75.8974358974359   ,nan                 
117.54237288135594  ,-75.8974358974359   ,nan                 
123.72881355932205  ,-75.8974358974359   ,nan                 
129.91525423728814  ,-75.8974358974359   ,nan                 
136.10169491525426  ,-75.8974358974359   ,nan                 
148.47457627118644  ,-75.8974358974359   ,nan                 
142.28813559322035  ,-75.8974358974359   ,nan                 
167.03389830508476  ,-75.8974358974359   ,nan                 
173.22033898305085  ,-75.8974358974359   ,nan                 
154.66101694915255  ,-75.8974358974359   ,nan                 
179.40677966101697  ,-75.8974358974359   ,nan                 
191.77966101694918  ,-75.8974358974359   ,nan                 
185.59322033898306  ,-75.8974358974359   ,nan                 
197.96610169491527  ,-75.8974358974359   ,nan                 
222.71186440677968  ,-75.8974358974359   ,nan                 
210.33898305084747  ,-75.8974358974359   ,nan                 
216.52542372881356  ,-75.8974358974359   ,nan                 
241.27118644067798  ,-75.8974358974359   ,nan                 
253.6440677966102   ,-75.8974358974359   ,nan                 
259.8305084745763   ,-75.8974358974359   ,nan                 
266.0169491525424   ,-75.8974358974359   ,nan                 
272.2033898305085   ,-75.8974358974359   ,nan                 
284.5762711864407   ,-75.8974358974359   ,nan                 
303.135593220339    ,-75.8974358974359   ,nan                 
290.7627118644068   ,-75.8974358974359   ,nan                 
315.5084745762712   ,-75.8974358974359   ,51.010089537773645  
278.3898305084746   ,-75.8974358974359   ,nan                 
296.9491525423729   ,-75.8974358974359   ,nan                 
321.6949152542373   ,-75.8974358974359   ,25.558493269671402  
327.8813559322034   ,-75.8974358974359   ,16.336625910590048  
334.0677966101695   ,-75.8974358974359   ,12.70472928929261   
346.4406779661017   ,-75.8974358974359   ,11.999999821515075  
309.3220338983051   ,-75.8974358974359   ,nan                 
352.6271186440678   ,-75.8974358974359   ,11.999999821517221  
340.25423728813564  ,-75.8974358974359   ,nan                 
358.81355932203394  ,-75.8974358974359   ,11.999999821516958  
0.0                 ,-71.7948717948718   ,11.999999821524797  
6.186440677966102   ,-71.7948717948718   ,11.99999982152684   
365.0               ,-75.8974358974359   ,nan                 
18.559322033898304  ,-71.7948717948718   ,12.683973310534917  
24.74576271186441   ,-71.7948717948718   ,13.416716710982952  
30.932203389830512  ,-71.7948717948718   ,14.791962280003     
37.11864406779661   ,-71.7948717948718   ,16.279102039666352  
12.372881355932204  ,-71.7948717948718   ,nan                 
43.30508474576271   ,-71.7948717948718   ,18.011936015675644  
49.49152542372882   ,-71.7948717948718   ,20.173877477402083  
55.67796610169492   ,-71.7948717948718   ,23.033114854049344  
61.864406779661024  ,-71.7948717948718   ,27.018089431697813  
80.42372881355932   ,-71.7948717948718   ,76.86945978458719   
68.05084745762713   ,-71.7948717948718   ,33.16904107224924   
74.23728813559322   ,-71.7948717948718   ,44.11301571482724   
92.79661016949153   ,-71.7948717948718   ,nan                 
86.61016949152543   ,-71.7948717948718   ,nan                 
98.98305084745763   ,-71.7948717948718   ,nan                 
111.35593220338984  ,-71.7948717948718   ,nan                 
136.10169491525426  ,-71.7948717948718   ,nan                 
148.47457627118644  ,-71.7948717948718   ,nan                 
142.28813559322035  ,-71.7948717948718   ,nan                 
154.66101694915255  ,-71.7948717948718   ,nan                 
160.84745762711864  ,-71.7948717948718   ,nan                 
167.03389830508476  ,-71.7948717948718   ,nan                 
179.40677966101697  ,-71.7948717948718   ,nan                 
173.22033898305085  ,-71.7948717948718   ,nan                 
191.77966101694918  ,-71.7948717948718   ,nan                 
204.15254237288136  ,-71.7948717948718   ,nan                 
210.33898305084747  ,-71.7948717948718   ,nan                 
222.71186440677968  ,-71.7948717948718   ,nan                 
241.27118644067798  ,-71.7948717948718   ,nan                 
235.0847457627119   ,-71.7948717948718   ,nan                 
228.89830508474577  ,-71.7948717948718   ,nan                 
253.6440677966102   ,-71.7948717948718   ,nan                 
266.0169491525424   ,-71.7948717948718   ,nan                 
247.4576271186441   ,-71.7948717948718   ,nan                 
259.8305084745763   ,-71.7948717948718   ,nan                 
278.3898305084746   ,-71.7948717948718   ,nan                 
284.5762711864407   ,-71.7948717948718   ,nan                 
290.7627118644068   ,-71.7948717948718   ,nan                 
309.3220338983051   ,-71.7948717948718   ,nan                 
296.9491525423729   ,-71.7948717948718   ,nan                 
321.6949152542373   ,-71.7948717948718   ,nan                 
334.0677966101695   ,-71.7948717948718   ,36.06716491879859   
327.8813559322034   ,-71.7948717948718   ,95.65149493883311   
346.4406779661017   ,-71.7948717948718   ,13.588625712292568  
315.5084745762712   ,-71.7948717948718   ,nan                 
352.6271186440678   ,-71.7948717948718   ,12.504925847717107  
340.25423728813564  ,-71.7948717948718   ,20.52122817850418   
365.0               ,-71.7948717948718   ,11.99999982152481   
0.0                 ,-67.6923076923077   ,13.806780003670156  
6.186440677966102   ,-67.6923076923077   ,13.960476253365723  
358.81355932203394  ,-71.7948717948718   ,nan                 
18.559322033898304  ,-67.6923076923077   ,14.757477319981076  
12.372881355932204  ,-67.6923076923077   ,14.255108191210887  
