BattSpec            ,Spans
300.0               ,75.93027698247266   
306.1224489795918   ,71.47396698693048   
312.2448979591837   ,67.89366614780516   
318.3673469387755   ,64.86952861352074   
324.48979591836735  ,62.30546300304716   
330.61224489795916  ,60.093593191537956  
336.734693877551    ,58.13583856935028   
342.85714285714283  ,56.38032094194976   
348.9795918367347   ,54.79003247448102   
355.1020408163265   ,53.33694070388092   
361.2244897959184   ,52.01884579744791   
367.3469387755102   ,50.77222842683827   
373.46938775510205  ,49.61236767648363   
379.59183673469386  ,48.53803935976785   
385.7142857142857   ,47.53315611348557   
391.83673469387753  ,46.59119805199414   
397.9591836734694   ,45.71894666017951   
404.0816326530612   ,44.89663601492266   
410.2040816326531   ,44.11808073992341   
416.3265306122449   ,43.377965965876065  
422.44897959183675  ,42.67396865155526   
428.57142857142856  ,42.00209679708038   
434.69387755102036  ,41.36348653524379   
440.81632653061223  ,40.75345624347285   
446.9387755102041   ,40.16971426503855   
453.0612244897959   ,39.6111495716185    
459.1836734693877   ,39.076775638469485  
465.3061224489796   ,38.564004597078956  
471.42857142857144  ,38.072622295240414  
477.55102040816325  ,37.6012606963807    
483.67346938775506  ,37.148297668671105  
489.7959183673469   ,36.71336592125672   
495.9183673469388   ,36.295151477468806  
502.0408163265306   ,35.89290878288273   
508.1632653061224   ,35.50586966149745   
514.2857142857142   ,35.13323476715942   
520.4081632653061   ,34.77436769420956   
526.530612244898    ,34.42847465724056   
532.6530612244898   ,34.09481349429746   
538.7755102040817   ,33.77319699306066   
544.8979591836735   ,33.46267424497454   
551.0204081632653   ,33.1627472793222    
557.1428571428571   ,32.87287421554013   
563.2653061224489   ,32.59264409398563   
569.3877551020407   ,32.3215089221184    
575.5102040816327   ,32.05905583794278   
581.6326530612245   ,31.80487589152515   
587.7551020408164   ,31.55857679524353   
593.8775510204082   ,31.319803427168935  
600.0               ,31.088208438741106  
