Days                ,Latitudes           ,Spans               
68.05084745762713   ,-75.8974358974359   ,59.000501215265864  
315.5084745762712   ,-80.0               ,32.702744690693365  
365.0               ,-80.0               ,14.314781842177263  
309.3220338983051   ,-80.0               ,51.967886522784305  
0.0                 ,-80.0               ,14.31048135899125   
55.67796610169492   ,-75.8974358974359   ,33.006417607221046  
352.6271186440678   ,-80.0               ,14.297601800452137  
358.81355932203394  ,-80.0               ,14.232837642573434  
49.49152542372882   ,-75.8974358974359   ,28.139738555682868  
37.11864406779661   ,-75.8974358974359   ,22.301200572720646  
6.186440677966102   ,-80.0               ,14.559409849369963  
340.25423728813564  ,-80.0               ,14.848361261062617  
334.0677966101695   ,-80.0               ,15.774650370552195  
18.559322033898304  ,-75.8974358974359   ,17.04239072461662   
55.67796610169492   ,-80.0               ,34.569499949895004  
61.864406779661024  ,-80.0               ,44.16854500390855   
12.372881355932204  ,-80.0               ,15.010217254884655  
30.932203389830512  ,-75.8974358974359   ,19.913450736100657  
12.372881355932204  ,-75.8974358974359   ,16.21828589035988   
43.30508474576271   ,-80.0               ,23.476685180429367  
6.186440677966102   ,-75.8974358974359   ,15.674715460973578  
0.0                 ,-75.8974358974359   ,15.36656054848771   
24.74576271186441   ,-75.8974358974359   ,18.229452779982385  
327.8813559322034   ,-80.0               ,18.3544043307817    
43.30508474576271   ,-75.8974358974359   ,24.881563701149833  
30.932203389830512  ,-80.0               ,18.22714451550866   
321.6949152542373   ,-80.0               ,23.247488859945054  
37.11864406779661   ,-80.0               ,20.344768198623562  
49.49152542372882   ,-80.0               ,28.342174948111495  
61.864406779661024  ,-75.8974358974359   ,41.16452219025141   
68.05084745762713   ,-80.0               ,68.15525482179373   
334.0677966101695   ,-75.8974358974359   ,26.269267346032823  
327.8813559322034   ,-75.8974358974359   ,51.60823589694981   
340.25423728813564  ,-75.8974358974359   ,19.077054816196725  
346.4406779661017   ,-75.8974358974359   ,16.371639122094884  
0.0                 ,-71.7948717948718   ,17.815655915329252  
358.81355932203394  ,-75.8974358974359   ,15.262390299023718  
365.0               ,-75.8974358974359   ,15.35221036666808   
12.372881355932204  ,-71.7948717948718   ,18.250280404084805  
74.23728813559322   ,-80.0               ,nan                 
24.74576271186441   ,-80.0               ,nan                 
37.11864406779661   ,-71.7948717948718   ,23.11997104036999   
24.74576271186441   ,-71.7948717948718   ,20.425433260895726  
43.30508474576271   ,-71.7948717948718   ,25.393897678664448  
68.05084745762713   ,-71.7948717948718   ,55.12331131953459   
30.932203389830512  ,-71.7948717948718   ,21.515030146412666  
49.49152542372882   ,-71.7948717948718   ,28.58654530733839   
6.186440677966102   ,-71.7948717948718   ,17.808259543285274  
247.4576271186441   ,-80.0               ,nan                 
61.864406779661024  ,-71.7948717948718   ,40.63576236380983   
55.67796610169492   ,-71.7948717948718   ,33.210531041970064  
18.559322033898304  ,-80.0               ,nan                 
346.4406779661017   ,-80.0               ,nan                 
278.3898305084746   ,-80.0               ,nan                 
284.5762711864407   ,-80.0               ,nan                 
290.7627118644068   ,-80.0               ,nan                 
191.77966101694918  ,-75.8974358974359   ,nan                 
142.28813559322035  ,-80.0               ,nan                 
204.15254237288136  ,-75.8974358974359   ,nan                 
80.42372881355932   ,-71.7948717948718   ,nan                 
247.4576271186441   ,-75.8974358974359   ,nan                 
278.3898305084746   ,-75.8974358974359   ,nan                 
148.47457627118644  ,-80.0               ,nan                 
86.61016949152543   ,-80.0               ,nan                 
352.6271186440678   ,-75.8974358974359   ,nan                 
154.66101694915255  ,-80.0               ,nan                 
18.559322033898304  ,-71.7948717948718   ,nan                 
92.79661016949153   ,-75.8974358974359   ,nan                 
259.8305084745763   ,-80.0               ,nan                 
136.10169491525426  ,-75.8974358974359   ,nan                 
296.9491525423729   ,-75.8974358974359   ,nan                 
235.0847457627119   ,-80.0               ,nan                 
105.16949152542374  ,-75.8974358974359   ,nan                 
272.2033898305085   ,-80.0               ,nan                 
117.54237288135594  ,-80.0               ,nan                 
216.52542372881356  ,-80.0               ,nan                 
216.52542372881356  ,-75.8974358974359   ,nan                 
167.03389830508476  ,-80.0               ,nan                 
111.35593220338984  ,-80.0               ,nan                 
142.28813559322035  ,-75.8974358974359   ,nan                 
197.96610169491527  ,-80.0               ,nan                 
173.22033898305085  ,-80.0               ,nan                 
185.59322033898306  ,-80.0               ,nan                 
98.98305084745763   ,-75.8974358974359   ,nan                 
204.15254237288136  ,-80.0               ,nan                 
222.71186440677968  ,-80.0               ,nan                 
266.0169491525424   ,-80.0               ,nan                 
253.6440677966102   ,-80.0               ,nan                 
179.40677966101697  ,-75.8974358974359   ,nan                 
241.27118644067798  ,-80.0               ,nan                 
105.16949152542374  ,-80.0               ,nan                 
129.91525423728814  ,-75.8974358974359   ,nan                 
167.03389830508476  ,-75.8974358974359   ,nan                 
136.10169491525426  ,-80.0               ,nan                 
117.54237288135594  ,-75.8974358974359   ,nan                 
185.59322033898306  ,-75.8974358974359   ,nan                 
191.77966101694918  ,-80.0               ,nan                 
74.23728813559322   ,-75.8974358974359   ,nan                 
123.72881355932205  ,-75.8974358974359   ,nan                 
228.89830508474577  ,-80.0               ,nan                 
98.98305084745763   ,-80.0               ,nan                 
296.9491525423729   ,-80.0               ,nan                 
321.6949152542373   ,-75.8974358974359   ,nan                 
309.3220338983051   ,-75.8974358974359   ,nan                 
111.35593220338984  ,-75.8974358974359   ,nan                 
210.33898305084747  ,-80.0               ,nan                 
210.33898305084747  ,-75.8974358974359   ,nan                 
129.91525423728814  ,-80.0               ,nan                 
