Latitude,Altitude
-86.95729839,8.869506089
-84.45961367,9.040882879
-81.96192896,9.141804767
-79.46424424,9.181792685
-76.96655953,9.240822469
-74.46887482,9.343648543
-71.9711901,9.444570431
-69.47350539,9.507408588
-66.97582067,9.558821625
-64.47813596,9.625468155
-61.98045125,9.730198416
-59.48276653,9.857778916
-56.98508182,10.01201803
-54.4873971,10.20434087
-51.98971239,10.43284326
-49.49202767,10.67657914
-46.99434296,10.96982387
-44.49665825,11.38684073
-42.11250466,11.85089099
-39.81917596,12.29704191
-37.99442118,12.70644202
-36.801771,13.22797756
-35.86829287,13.81301244
-34.75362366,14.3668927
-33.74904523,14.84547826
-32.00823468,15.35051085
-29.73761221,15.70934423
-27.23992749,15.95308011
-24.74224278,16.12255272
-22.24455807,16.24442066
-19.74687335,16.32630068
-17.24918864,16.38723465
-14.75150392,16.42341419
-12.25381921,16.43293513
-9.756134495,16.4653063
-7.258449781,16.4653063
-4.760765067,16.4653063
-2.263080353,16.4653063
0.234604361,16.4653063
2.732289076,16.45007281
5.22997379,16.42341419
7.727658504,16.42341419
10.22534322,16.42341419
12.72302793,16.39865977
15.22071265,16.38152209
17.71839736,16.36057604
20.21608207,16.32058812
22.71376679,16.25965415
25.2114515,16.17015738
27.70913622,16.0254392
30.20682093,15.82549961
32.70450565,15.54177581
34.86159699,15.16926932
35.78246055,14.67790984
36.79162609,14.16909532
37.69987507,13.69519089
38.6333532,13.20004949
39.82600338,12.69311271
41.33287102,12.23801212
43.71702461,11.75034994
46.1011782,11.2630686
48.59886292,10.88223129
51.09654763,10.62135773
53.59423235,10.39095115
56.09191706,10.18339482
58.58960177,10.00820965
61.08728649,9.846353797
63.5849712,9.699731431
66.08265592,9.545492319
68.58034063,9.404582513
71.07802534,9.263672708
73.57571006,9.141804767
76.07339477,9.044691253
78.57107949,8.955194484
81.0687642,8.869506089
83.56644891,8.795242812
86.06413363,8.757159081
88.65642761,8.717012481
