Altitude            ,Spans               
12000.0             ,22.72713752293124   
12163.265306122448  ,22.864196233145936  
12326.530612244898  ,22.99746600103943   
12489.795918367347  ,23.13366594224392   
12653.061224489797  ,23.274305180199892  
12816.326530612245  ,23.428284202240054  
12979.591836734693  ,23.59247640062889   
13142.857142857143  ,23.77659785346535   
13306.122448979591  ,23.978899010493816  
13469.387755102041  ,24.20154442893545   
13632.65306122449   ,24.441697704961634  
13795.918367346938  ,24.708462230404574  
13959.183673469388  ,25.018408161189843  
14122.448979591836  ,25.358805720951246  
14285.714285714286  ,25.70515615456962   
14448.979591836734  ,26.062763996408023  
14612.244897959183  ,26.432014344823614  
14775.510204081633  ,26.813586427137178  
14938.775510204081  ,27.225939157909224  
15102.040816326531  ,27.553789711473122  
15265.30612244898   ,27.93439455871204   
15428.571428571428  ,28.34324728317866   
15591.836734693878  ,28.761024608546492  
15755.102040816326  ,29.19145764101141   
15918.367346938776  ,29.6349925293582    
16081.632653061224  ,30.092261021615727  
16244.897959183672  ,30.563914709746644  
16408.163265306124  ,31.050667756755722  
16571.428571428572  ,31.553287522867425  
16734.69387755102   ,32.072587374008     
16897.95918367347   ,32.60955001960709   
17061.224489795917  ,33.165013651588474  
17224.489795918365  ,33.739984726779745  
17387.755102040817  ,34.33554690267143   
17551.020408163266  ,34.95285669142167   
17714.285714285714  ,35.59318059025368   
17877.551020408162  ,36.25767472020251   
18040.816326530614  ,36.94790855050734   
18204.081632653062  ,37.66542286798628   
18367.34693877551   ,38.41188198203674   
18530.61224489796   ,39.18921111198234   
18693.877551020407  ,39.99935570832853   
18857.142857142855  ,40.84478210113524   
19020.408163265307  ,41.7282770351394    
19183.673469387755  ,42.65311791025461   
19346.938775510203  ,43.62280722021045   
19510.20408163265   ,44.641417881720656  
19673.469387755104  ,45.71340164431551   
19836.73469387755   ,46.84406704797226   
20000.0             ,48.03938382375664   
