Object or Collection of Objects, Mass [kg],
mass_ESC, 0.149243,
mass_MPPT, 5.700000,
mass_avionics, 3.179000,
mass_battery_pack, 132.917880,
mass_boom, 4.425357,
mass_fairings, 2.067000,
mass_fuse, 7.220357,
mass_hstab, 0.382967,
mass_hstab_primary, 0.123743,
mass_hstab_secondary, 0.259224,
mass_landing_gear, 0.728000,
mass_motor_mounted, 5.961107,
mass_motor_raw, 2.980553,
mass_payload, 30.000000,
mass_power_systems, 155.616425,
mass_power_systems_misc, 0.314000,
mass_propellers, 3.940995,
mass_propulsion, 10.051346,
mass_solar_cells, 15.816546,
mass_structural, 56.755743,
mass_total, 255.602514,
mass_vstab, 0.569588,
mass_vstab_primary, 0.131700,
mass_vstab_secondary, 0.437887,
mass_wing, 16.021084,
mass_wing_primary, 8.906181,
mass_wing_secondary, 7.114903,
mass_wires, 0.868000,
max_mass_total, 255.602514,
structural_mass_margin_multiplier, 1.400000,
